"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Sean Murphy","OAK","46","0","0","100","88","109","50","92","1",".626","3.2%","-0.5","86.9","19352"
"Kyle Farmer","CIN","51","2","0","76","78","94","112","78","3",".666","7.9%","-1.7","85.3","14813"
"Bobby Witt Jr.","KCR","54","0","3","124","100","70","39","83","2",".648","5.1%","-0.1","87.4","25764"
"Jake Cave","MIN","50","0","1","112","108","100","74","87","2",".656","5.9%","-0.4","90.6","14477"
"Christian Yelich","MIL","54","2","3","64","123","222","88","83","2",".610","6.9%","-0.8","89.6","11477"
"Miguel Cabrera","DET","33","1","0","94","95","114","67","86","1",".636","4.3%","-0.9","89.7","1744"
"Luis Garcia","WSN","47","1","0","111","122","51","86","81","3",".654","9.4%","-1.2","87.1","20391"
"Andrew Knizner","STL","37","2","0","79","96","32","125","85","2",".660","7.1%","-0.8","84.4","19514"
"Vladimir Guerrero Jr.","TOR","53","2","0","79","93","119","100","84","3",".645","8.1%","-1.4","90.6","19611"
"Patrick Wisdom","CHC","41","2","1","76","183","58","157","82","2",".649","10.0%","-0.6","91.4","13602"
"Emmanuel Rivera","ARI","10","0","0","98","88","120","72","79","0",".633","0.0%","-0.2","95.3","19890"
"Franmil Reyes","CHC","41","1","0","82","108","117","90","81","2",".626","7.7%","-1.7","92.6","14566"
"Carlos Santana","SEA","51","0","0","111","115","172","30","87","2",".606","6.5%","-0.6","90.0","2396"
"Chris Taylor","LAD","25","0","0","121","106","96","28","82","1",".624","5.9%","-0.4","85.4","13757"
"Paul Goldschmidt","STL","37","0","1","134","131","65","20","84","0",".627","0.0%","-0.4","89.7","9218"
"Javier Baez","DET","49","3","0","71","92","26","142","83","4",".670","10.8%","-0.8","85.4","12979"
"Adam Frazier","SEA","38","0","2","111","71","33","56","86","1",".651","3.2%","-0.6","83.0","15223"
"Miguel Andujar","PIT","40","0","0","94","55","60","90","78","2",".664","6.1%","-1.3","85.5","15878"
"Marcus Semien","TEX","62","3","1","74","94","81","117","80","4",".644","8.9%","-1.1","89.9","12533"
"Josh Jung","TEX","54","2","1","81","117","93","121","80","3",".639","8.3%","-2.2","83.1","26299"
"Josh Bell","SDP","35","0","0","69","76","308","0","81","1",".525","5.0%","-0.7","81.4","13145"
"Zach McKinstry","CHC","41","1","4","90","162","175","92","77","2",".607","10.0%","0.3","85.2","19392"
"J.P. Crawford","SEA","46","0","0","69","88","273","0","83","0",".517","0.0%","-0.9","87.1","15491"
"Tomas Nido","NYM","23","1","0","76","77","0","140","82","3",".652","15.8%","-1.0","88.0","13755"
"Ronald Acuna Jr.","ATL","38","2","1","78","116","126","114","74","3",".672","12.5%","-0.7","88.2","18401"
"Stuart Fairchild","CIN","39","0","0","92","91","123","57","69","1",".602","3.8%","-1.6","89.6","20321"
"Aristides Aquino","CIN","26","1","0","86","170","138","112","69","1",".617","7.7%","-0.7","87.6","15482"
"Francisco Lindor","NYM","47","1","0","99","75","0","84","81","2",".647","5.1%","-1.2","89.5","12916"
"Luke Maile","CLE","18","0","0","115","100","70","0","77","0",".583","0.0%","-0.6","77.8","13355"
"Andrew McCutchen","MIL","40","0","0","90","133","269","42","74","2",".576","10.5%","-1.4","85.8","9847"
"Isiah Kiner-Falefa","NYY","37","1","2","74","49","136","61","77","1",".600","3.4%","-0.7","81.9","16512"
"Luis Guillorme","NYM","22","0","0","92","80","109","34","80","0",".581","0.0%","-0.9","87.6","16451"
